X,Y
2,81.57515528
3,86.46931559
4,89.16567504
5,90.20515716
6,91.2915899
7,91.42112683
8,91.68832911
9,91.80264698
10,91.98850586
11,91.95101967
12,91.66675919
13,91.4748632
14,91.1670264
15,91.05417985
16,90.55545696
17,90.34480016
18,90.0600663
19,89.92127059
20,89.5231913
21,89.28449596
22,88.86279361
23,88.69098327
24,88.33176178
25,87.96807178
